Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GLO,Clough Global Opportunities Fund,11.2,360913414.4,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/glo
COHN,Cohen & Company Inc.,9.545,12015570.53,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cohn
MOC,Command Security Corporation,2.97,29249112.42,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc
CIX,CompX International Inc.,14.5,180178551.5,n/a,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.388,18723678.36,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CDOR,"Condor Hospitality Trust, Inc.",10.52,122865278.7,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
CTO,Consolidated-Tomoka Land Co.,67.23,375259909.6,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,5.72,145916010.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,19.7135,33161399.15,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,21.65,170003853.8,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt
CVRS,"Corindus Vascular Robotics, Inc.",1.01,190589948.2,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cvrs
CRMD,CorMedix Inc,0.502,33646760.34,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",15.65,345212160.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",15.98,696400282.2,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",9.15,81078021.9,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.33,174131577.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.8,280130572.4,n/a,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,2.8,206388946.4,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/crhm
CRVP,"Crystal Rock Holdings, Inc.",0.8029,17148668.19,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp
CTEK,"CynergisTek, Inc.",4.54,43137990.4,n/a,2017,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctek
DXR,Daxor Corporation,4.38,16603502.52,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",15.25,73765775,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.27,60092438.61,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",13.38,153936565.5,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",20.57,148104000,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.527,294637479.9,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",0.9897,26665616.75,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse
DSS,"Document Security Systems, Inc.",2.2,36166519.4,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/dss
DPW,"DPW Holdings, Inc.",2.27,69001868.73,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw
DMF,"Dreyfus Municipal Income, Inc.",8.795,182463541.4,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf
GRF,"Eagle Capital Growth Fund, Inc.",8.14,29214272.78,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf
EVM,Eaton Vance California Municipal Bond Fund,11.53,246676832.4,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm
EIA,Eaton Vance California Municipal Bond Fund II,11.57,44965138.92,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia
CEV,Eaton Vance California Municipal Income Trust,12.0625,87508310.94,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,13.53,1571469154,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv
MAB,Eaton Vance Massachusetts Municipal Bond Fund,13.28,23485865.92,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.1201,35909989.22,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv
MIW,Eaton Vance Michigan Municipal Bond Fund,13.38,20070869.7,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw
EMI,Eaton Vance Michigan Municipal Income Trust,12.7679,25701706.09,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi
EIM,Eaton Vance Municipal Bond Fund,12.41,845967982.5,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,12.23,122463649.6,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.4676,32156010.02,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,11.75,54028356.5,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,12.19,190917098.2,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx
NYH,Eaton Vance New York Municipal Bond Fund II,11.42,29195344.2,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh
EVY,Eaton Vance New York Municipal Income Trust,12.6884,69478518.99,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy
EIO,Eaton Vance Ohio Municipal Bond Fund,12.6499,32104687.21,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,12.9899,37114183.71,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,12.59,37266903.6,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.2403,31837191.66,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp
ELMD,"Electromed, Inc.",6.21,51295637.07,n/a,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd
ELLO,Ellomay Capital Ltd.,9.3186,99498140.08,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,9.63,124000675.7,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf
ECF^A,Ellsworth Growth and Income Fund Ltd.,24.9441,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ecf^a
EMAN,eMagin Corporation,1.65,57704771.85,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman
MSN,Emerson Radio Corporation,1.4299,35016396.42,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn
EMX,EMX Royalty Corporation,0.8802,70174109.6,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emx
UUUU,Energy Fuels Inc,1.69,123766325.3,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu
UUUU.WS,Energy Fuels Inc,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uuuu.ws
ENRJ,"EnerJex Resources, Inc.",0.202,3089567.982,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj
ENSV,ENSERVCO Corporation,0.9901,50672029.88,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
ESNC,"EnSync, Inc.",0.45,25127035.65,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/esnc
EGI,Entree Resources Ltd.,0.5299,91976635.8,n/a,2017,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi
EVI,"EnviroStarm, Inc.",38.2,412782629.6,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi
ERN,Erin Energy Corp.,2.8,601871841.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern
ESP,Espey Mfg. & Electronics Corp.,24.75,58613073.75,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp
EVBN,"Evans Bancorp, Inc.",43.05,205747229.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn
EPM,"Evolution Petroleum Corporation, Inc.",7.45,246328632.7,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
FEN,First Trust Energy Income and Growth Fund,27.11,525857468.5,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen
BDL,"Flanigan&#39;s Enterprises, Inc.",23.005,42758174.24,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,1.8544,21368234.51,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,11.9,268989099.4,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,10.59,1135577931,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,5.5,38551942,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd
FTNW,"FTE Networks, Inc.",19.5,109147272,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ftnw
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",5.34,722577139.1,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",24.55,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b
GST,Gastar Exploration Inc.,1.24,271419219.1,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GST^A,Gastar Exploration Inc.,17.12,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a
GST^B,Gastar Exploration Inc.,18.86,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b
JOB,GEE Group Inc.,2.81,28136100.07,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.3794,42177092.53,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GSB,"GlobalSCAPE, Inc.",3.65,78737183.15,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",1.23,1548863585,n/a,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",0.3238,11698957.14,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,4.93,280475016.1,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,1.6,373658673.6,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.46,42322506.08,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",0.84,319688103,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),5.1,129801905.4,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv
GDP,Goodrich Petroleum Corporation,12,126462156,n/a,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gdp
GTE,Gran Tierra Energy Inc.,2.85,1106984212,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
GPL,Great Panther Silver Limited,1.37,230652042.4,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gpl
SIM,"Grupo Simec, S.A. de C.V.",10.63,1763549645,n/a,1993,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim
GVP,"GSE Systems, Inc.",3.4798,67504835.07,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp
GLF,"GulfMark Offshore, Inc.",28.75,815700175,n/a,2017,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/glf
GLF.WS,"GulfMark Offshore, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glf.ws
HEB,"Hemispherx BioPharma, Inc.",0.5397,17198267.48,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/heb
HCAC,Hennessy Capital Acquisition Corp. III,9.88,316962750,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/hcac
HCAC.U,Hennessy Capital Acquisition Corp. III,n/a,0,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/hcac.u
HCAC.WS,Hennessy Capital Acquisition Corp. III,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hcac.ws
HLM^,Hillman Group Capital Trust,34.8265,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hlm^
HMG,"HMG/Courtland Properties, Inc.",14.7,14735162.4,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hmg
HUSA,Houston American Energy Corporation,0.3321,19166807.44,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa
IBIO,"iBio, Inc.",0.1858,21426179.16,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ibio
IBO,IBO (Listing Market - NYSE Amex Network B F),23.11,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibo
IEC,IEC Electronics Corp.,4,41302028,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/iec
IMUC,"ImmunoCellular Therapeutics, Ltd.",0.293,10312235.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imuc
IMUC.WS,"ImmunoCellular Therapeutics, Ltd.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/imuc.ws
IMH,"Impac Mortgage Holdings, Inc.",10.25,214734209.8,n/a,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/imh
IMO,Imperial Oil Limited,32.15,26724440170,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/imo
IOR,"Income Opportunity Realty Investors, Inc.",10.5,43766247,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ior
IGC,India Globalization Capital Inc.,1.02,28650242.46,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/igc
INFU,"InfuSystems Holdings, Inc.",2.371,54013129.8,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/infu
IHT,InnSuites Hospitality Trust,1.8025,17576141.45,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iht
NSPR,"InspireMD, Inc.",0.1766,9168306.792,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nspr
NSPR.WS,"InspireMD, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nspr.ws
NSPR.WS.B,"InspireMD, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nspr.ws.b
IDN,"Intellicheck, Inc.",2.44,36567892.04,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/idn
INS,Intelligent Systems Corporation,4.9068,43071831.52,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ins
THM,International Tower Hill Mines Ltd,0.45,73076848.2,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/thm
INTT,inTest Corporation,9.1,94758827.8,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/intt
INUV,"Inuvo, Inc",0.8712,24812350.12,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/inuv
VKI,Invesco Advantage Municipal Income Trust II,11.24,498961033.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vki
ISR,"IsoRay, Inc.",0.4101,22562643.53,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/isr
ISDR,Issuer Direct Corporation,17.286,51529462.28,n/a,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/isdr
JRJR,"JRjr33, Inc.",0.2098,9406954.285,n/a,2014,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jrjr
KIQ,Kelso Technologies Inc,0.76,35652931.52,n/a,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/kiq
KLDX,Klondex Mines Ltd.,2.19,393356733.9,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/kldx
LTS,Ladenburg Thalmann Financial Services Inc,3.13,620969060.2,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lts
LTS^A,Ladenburg Thalmann Financial Services Inc,25.33,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lts^a
LTSL,Ladenburg Thalmann Financial Services Inc,24.79,0,n/a,2017,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ltsl
LAQ,"Latin America Equity Fund, Inc. (The)",28.59,212953101,n/a,1991,n/a,n/a,http://www.nasdaq.com/symbol/laq
LEVB,"Level Brands, Inc.",5.0922,39713701.16,n/a,2017,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/levb
LGL,"LGL Group, Inc. (The)",5.7248,15316502.03,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lgl
LBY,"Libbey, Inc.",7.99,175908702.9,n/a,1993,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lby
LLEX,"Lilis Energy, Inc.",5.09,271806000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/llex
LIQT,"LiqTech International, Inc.",0.46,20345461.44,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/liqt
MAG,MAG Silver Corporation,12.15,1038567299,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mag
MJCO,Majesco,5.5,200951982,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mjco
MHH,"Mastech Digital, Inc",10.05,54822267.6,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/mhh
MTNB,"Matinas Biopharma Holdings, Inc.",1.2,111540115.2,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mtnb
MNI,McClatchy Company (The),9.05,69550471.75,n/a,1988,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/mni
IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate",27.71,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ipb
MXC,Mexco Energy Corporation,4.47,9106579.02,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mxc
CCA,MFS California Insured Municipal Trust,11.2701,31401597.88,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/cca
MICR,"Micron Solutions, Inc.",3.5481,10052310.16,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/micr
MLSS,"Milestone Scientific, Inc.",1.07,35299004.68,n/a,2015,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/mlss
MVF,"MuniVest Fund, Inc.",9.61,619821993.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mvf
MZA,"MuniYield Arizona Fund, Inc.",17.244,79749413.17,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mza
MYO,Myomo Inc.,3.54,22308545.46,n/a,2017,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/myo
NNVC,"NanoViricides, Inc.",0.9099,57628516.5,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/nnvc
ATEST,NASDAQ TEST STOCK,9.99,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atest
ATEST.A,NASDAQ TEST STOCK,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atest.a
ATEST.B,NASDAQ TEST STOCK,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atest.b
ATEST.C,NASDAQ TEST STOCK,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atest.c
NHC,National HealthCare Corporation,64.18,975334153.9,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/nhc
NAVB,"Navidea Biopharmaceuticals, Inc.",0.3906,63377445.93,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/navb
NTIP,"Network-1 Technologies, Inc.",2.45,59120979.4,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/ntip
NBW,Neuberger Berman California Intermediate Municipal Fund Inc.,13.85,76881959.4,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nbw
NHS,Neuberger Berman High Yield Strategies Fund,11.65,227647815.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nhs
NBH,Neuberger Berman Intermediate Municipal Fund Inc.,14.77,277656341.1,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nbh
NML,Neuberger Berman MLP Income Fund Inc.,9.79,554690905.1,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/nml
